,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Screen Name,Tweet,Tweets Ago
0,0.4019,2018-06-04 02:15:06+00:00,0.0,0.863,0.137,CNN,Former US Attorney Preet Bharara says President Trump's political allies are clearly receiving a message from his p… https://t.co/w0ckxhDKDi,1
1,0.0,2018-06-04 02:00:12+00:00,0.0,1.0,0.0,CNN,Disney embraces $15 minimum wage in negotiations with workers https://t.co/5YKaVxqJ2u https://t.co/0n7XSHDfKn,2
2,0.1027,2018-06-04 01:45:05+00:00,0.157,0.663,0.181,CNN,French Open marathon man Alexander Zverev makes first grand slam quarterfinal https://t.co/yAQeSZGiUa https://t.co/eg9WmcksBh,3
3,-0.9246,2018-06-04 01:30:13+00:00,0.489,0.511,0.0,CNN,"""Her only weapon was her medical vest."" Palestinians mourn the death of a nurse killed by Israeli forces.… https://t.co/ppQdV22e5L",4
4,0.0,2018-06-04 01:15:12+00:00,0.0,1.0,0.0,CNN,Actor Benedict Cumberbatch saves cyclist from muggers https://t.co/D0zALzFoCY https://t.co/hnQTowlGH9,5
5,-0.4588,2018-06-04 01:00:10+00:00,0.15,0.85,0.0,CNN,"Former New Jersey Gov. Chris Christie says it's an ""outrageous claim"" that President Trump can't obstruct justice… https://t.co/A1Xlidjyzk",6
6,-0.4939,2018-06-04 00:45:10+00:00,0.225,0.775,0.0,CNN,"Nearly 100 women suffered under dancing doctor's scalpel, lawyer says https://t.co/JKCekjz8bw https://t.co/4q69tZuiu1",7
7,0.4939,2018-06-04 00:30:03+00:00,0.0,0.862,0.138,CNN,"When he was a kid, Richard Jenkins raised his hand in class so often bullies started calling him ""Harvard.""

Now, a… https://t.co/okoYkkhJdn",8
8,-0.8316,2018-06-04 00:15:07+00:00,0.464,0.536,0.0,CNN,Author Germaine Greer's dangerous ideas about rape https://t.co/cPrlwOCoPW (via @CNNOpinion) https://t.co/3vhDQGV5GJ,9
9,0.0,2018-06-04 00:00:09+00:00,0.0,1.0,0.0,CNN,"Sen. Bob Corker says GOP senators are working on plan to ""push back"" on Trump policy https://t.co/fx2wMRSMWZ https://t.co/xRiqlqwL7C",10
10,0.0,2018-06-03 23:45:02+00:00,0.0,1.0,0.0,CNN,"President Trump says Senate Democrats are ""resisting the will"" of voters https://t.co/E4qbFMRLPe https://t.co/7QE2uCdt7R",11
11,-0.7269,2018-06-03 23:30:50+00:00,0.353,0.647,0.0,CNN,This FBI agent lost his gun during a dance-floor backflip and accidentally shot a bar patron https://t.co/ICK3IAFrgs https://t.co/cTfVCE5v9m,12
12,-0.2263,2018-06-03 23:15:08+00:00,0.151,0.755,0.094,CNN,"Gaza militants fire rockets towards Israel, and Israel Defense Forces responds with airstrikes… https://t.co/jStVpnYZly",13
13,0.0,2018-06-03 23:00:04+00:00,0.0,1.0,0.0,CNN,Dog dies during Delta Air Lines layover in Michigan https://t.co/vmHsRHK4xU https://t.co/QdyLmeQ0u0,14
14,0.34,2018-06-03 22:45:04+00:00,0.0,0.833,0.167,CNN,Is President Trump giving North Korea a pass on nukes? https://t.co/4jzsC63v3e (via @CNNOpinion) https://t.co/8FRCEkoVAh,15
15,0.5267,2018-06-03 22:30:09+00:00,0.0,0.746,0.254,CNN,Ben Maher takes St Tropez Global Champions Tour title https://t.co/ELTEABvr3E https://t.co/0oCYM8Zxfq,16
16,0.34,2018-06-03 22:15:05+00:00,0.111,0.657,0.232,CNN,"No sanctions relief without steps to denuclearize, US Defense Secretary James Mattis tells North Korea… https://t.co/IVl6Za5v2Z",17
17,0.0,2018-06-03 22:00:10+00:00,0.0,1.0,0.0,CNN,Former President Bill Clinton says an impeachment process over the Russia probe would be underway if a Democrat wer… https://t.co/znmtIDv8nr,18
18,0.1531,2018-06-03 21:52:05+00:00,0.137,0.685,0.178,CNN,Silent forms of protest make bold statements at Parkland graduation https://t.co/nM71NgD7PO https://t.co/HIUt6o4qaA,19
19,-0.3612,2018-06-03 21:45:06+00:00,0.152,0.848,0.0,CNN,Kansas Republican gubernatorial candidate Kris Kobach criticized for riding in a parade with a replica gun… https://t.co/jcbwKUMOJa,20
20,0.0,2018-06-03 21:30:13+00:00,0.0,1.0,0.0,CNN,Jimmy Fallon crashes Marjory Stoneman Douglas graduation https://t.co/hOq6DiF2Fu https://t.co/hDqlcJtxJt,21
21,0.0,2018-06-03 21:15:03+00:00,0.0,1.0,0.0,CNN,"Thousands of acres ablaze in California, Colorado and New Mexico https://t.co/6nNgmuzJiS https://t.co/tQ0yCa6GoF",22
22,0.0,2018-06-03 21:00:07+00:00,0.0,1.0,0.0,CNN,"President Trump's lawyer, Rudy Giuliani, says Trump shouldn't testify because ""our recollections keep changing""… https://t.co/mxFcjU5YD3",23
23,-0.0772,2018-06-03 20:45:12+00:00,0.14,0.86,0.0,CNN,A solemn graduation for Marjory Stoneman Douglas seniors https://t.co/NqcmGRbxFc https://t.co/pJlnA5slXv,24
24,0.0,2018-06-03 20:30:11+00:00,0.0,1.0,0.0,CNN,Ford dropped cars but it's keeping the Mustang. Here's why: https://t.co/gWdeLfWmch https://t.co/gHvz0gs8jr,25
25,-0.6369,2018-06-03 20:15:09+00:00,0.296,0.704,0.0,CNN,Vatican replaces archbishop convicted of concealing child sex abuse https://t.co/NaFmQHVdN1 https://t.co/q0y3QV8Awp,26
26,0.4588,2018-06-03 20:00:18+00:00,0.0,0.824,0.176,CNN,"Even the race to replace ""Putin's favorite Congressman"" unlikely to hinge on Russia https://t.co/EZUt9qXrLY https://t.co/2o1HuDUTFk",27
27,0.0,2018-06-03 19:45:08+00:00,0.0,1.0,0.0,CNN,President Trump to host Ramadan dinner https://t.co/ZNoR75CrRA https://t.co/P1X4g2FQ7F,28
28,-0.8807,2018-06-03 19:30:03+00:00,0.421,0.579,0.0,CNN,"Hamptons ""builder to the stars"" among those feared dead in plane crash off Long Island https://t.co/aTSXQjz7L7 https://t.co/ZYiANx7mrD",29
29,0.0,2018-06-03 19:15:06+00:00,0.0,1.0,0.0,CNN,Kuwait wants to foster more private sector firms as part of sweeping diversification plans https://t.co/tTy6dyJnR6 https://t.co/WvNLE1DXfe,30
30,-0.3182,2018-06-03 19:00:09+00:00,0.141,0.859,0.0,CNN,"Trump lawyers say he ""dictated"" statement on Trump Tower meeting, contradicting past denials https://t.co/vlFcqx1uiM https://t.co/14C2HmISbW",31
31,-0.6671,2018-06-03 18:45:03+00:00,0.375,0.496,0.129,CNN,Trade wars are scary. Why isn't Wall Street freaking out? https://t.co/DFElDvMhKZ https://t.co/QWAZEMnoSj,32
32,-0.5106,2018-06-03 18:30:06+00:00,0.223,0.777,0.0,CNN,Residents stranded with no power and water in area cut off by lava in Hawaii https://t.co/pxQjUKmjKk https://t.co/MJbm9rllIJ,33
33,0.0,2018-06-03 18:15:07+00:00,0.0,1.0,0.0,CNN,What to expect at Monday's Apple event https://t.co/HXt7nltvOW https://t.co/TbQHmijp2P,34
34,-0.296,2018-06-03 18:00:10+00:00,0.136,0.864,0.0,CNN,Looking for lower Medicare drug costs? Ask your pharmacist for the cash price https://t.co/81QmKI8Xnm https://t.co/P3vUBOYPvJ,35
35,0.4019,2018-06-03 17:45:09+00:00,0.0,0.847,0.153,CNN,"Former US attorney Preet Bharara says President Trump pardoning himself would be ""almost self-executing impeachment… https://t.co/YhJVsmthKn",36
36,-0.4939,2018-06-03 17:30:15+00:00,0.242,0.758,0.0,CNN,Canadian official Chrystia Freeland calls President Trump's tariffs insulting https://t.co/2JonOUzB4s https://t.co/mKSO8N04SK,37
37,0.0,2018-06-03 17:15:08+00:00,0.0,1.0,0.0,CNN,How one month reshaped the US immigration landscape https://t.co/b3DFeEC3db https://t.co/YhNFc9UFpC,38
38,-0.25,2018-06-03 17:00:11+00:00,0.167,0.833,0.0,CNN,"""The Americans"" made motherhood the ultimate disguise https://t.co/jrF6Wjj933 (via @CNNopinion) https://t.co/2K1MMwKEjk",39
39,-0.5574,2018-06-03 16:45:09+00:00,0.265,0.735,0.0,CNN,"""Solo: A Star Wars Story"" sinks 65% in second weekend https://t.co/xyeQpChuu2 https://t.co/kp2Md6qfxx",40
40,0.0,2018-06-03 16:30:13+00:00,0.0,1.0,0.0,CNN,The New York Times highlights EPA Administrator Scott Pruitt's cozy relationship with a coal baron… https://t.co/VUv05naQ8O,41
41,0.0,2018-06-03 16:15:53+00:00,0.0,1.0,0.0,CNN,"""That's not what the American people, I think, would be able to stand for."" Former US attorney Preet Bharara says i… https://t.co/InFFVlGCaA",42
42,0.0,2018-06-03 16:00:09+00:00,0.0,1.0,0.0,CNN,Samantha Bee will address vulgar comment about Ivanka Trump on her show https://t.co/OyIbHMShHx https://t.co/KZvpq2sW3R,43
43,-0.7269,2018-06-03 15:45:08+00:00,0.392,0.608,0.0,CNN,"FBI agent loses his gun during dance-floor backflip, accidentally shoots bar patron https://t.co/F61P7oVf0C https://t.co/kaCXlPkI9r",44
44,-0.34,2018-06-03 15:30:19+00:00,0.13,0.87,0.0,CNN,"Southwest Airlines comes under fire after an agent asks a mom to ""prove"" biracial child is hers… https://t.co/BTjEHSyG5H",45
45,-0.2732,2018-06-03 15:00:13+00:00,0.116,0.884,0.0,CNN,The US Geological Survey has warned people not to roast marshmallows over volcanic vents in Hawaii https://t.co/j8bf0QdcBk,46
46,-0.1027,2018-06-03 14:45:05+00:00,0.08,0.92,0.0,CNN,"Vermont has a new law that will pay workers $10,000 to move there and work remotely https://t.co/BOsRh6adek https://t.co/BafSsgoD5f",47
47,-0.802,2018-06-03 14:30:06+00:00,0.353,0.647,0.0,CNN,Parents of Parkland victims are outraged about a new video game that would let players shoot up a school… https://t.co/7cLz5FT10V,48
48,-0.8316,2018-06-03 14:00:23+00:00,0.328,0.672,0.0,CNN,"More than 120 pregnant whales were killed during Japan's annual hunt last summer, prompting outrage among conservat… https://t.co/AMpERnhYGv",49
49,0.4939,2018-06-03 13:45:08+00:00,0.0,0.862,0.138,CNN,"When he was a kid, Richard Jenkins raised his hand in class so often bullies started calling him ""Harvard.""

Now, a… https://t.co/0prHEtH5ZV",50
50,-0.765,2018-06-03 13:31:09+00:00,0.268,0.732,0.0,CNN,These crosses represent each victim killed in the Santa Fe High School shooting. Retired carpenter Greg Zanis has b… https://t.co/mkX59AneVF,51
51,0.0,2018-06-03 13:15:04+00:00,0.0,1.0,0.0,CNN,A Catholic school told its valedictorian his speech was too political. So he gave it outside on a bullhorn.… https://t.co/FIG7Jh43zR,52
52,0.4939,2018-06-03 13:00:17+00:00,0.0,0.862,0.138,CNN,"When he was a kid, Richard Jenkins raised his hand in class so often bullies started calling him ""Harvard.""

Now, a… https://t.co/q25qpxE052",53
53,-0.5574,2018-06-03 12:46:02+00:00,0.159,0.841,0.0,CNN,"""Chris, we've got your baby girl"": Army Spc. Christopher M. Harris died serving in Afghanistan, just days after lea… https://t.co/RrOAxDYdWC",54
54,0.1695,2018-06-03 12:30:19+00:00,0.0,0.919,0.081,CNN,"""Don't forget to show love"": In a superhero cape, he feeds the hungry and homeless in Birmingham, Alabama. And he's… https://t.co/WZm3BWvrbN",55
55,0.0,2018-06-03 12:15:03+00:00,0.0,1.0,0.0,CNN,Roseanne Barr says she begged ABC executives to keep her show on the air before the network canceled its hit sitcom… https://t.co/FcCBIrH65R,56
56,0.4767,2018-06-03 11:45:06+00:00,0.0,0.846,0.154,CNN,"Alabama school administrators, who get approval from local authorities and go through training, will be permitted t… https://t.co/lYSarBzcgW",57
57,-0.34,2018-06-03 11:30:09+00:00,0.216,0.637,0.147,CNN,"""Black lives don't matter,"" lawyer says after jury awards $4 in police killing https://t.co/DJTzgOXbfE https://t.co/nuBDS1RJKL",58
58,0.1531,2018-06-03 11:15:12+00:00,0.0,0.914,0.086,CNN,Only one more state needs to pass the Equal Rights Amendment to finally get it ratified https://t.co/y35AIYdJyp https://t.co/fc0zvM7b5G,59
59,0.2732,2018-06-03 11:00:20+00:00,0.0,0.913,0.087,CNN,Televangelist Jesse Duplantis says God spoke to him and wants him to get a new private jet that can cost up to $54… https://t.co/ZWQGuPcxiD,60
60,0.0,2018-06-03 10:45:15+00:00,0.0,1.0,0.0,CNN,He was an NFL player. Now he's a Juilliard-trained opera singer. https://t.co/ItAsUVK7mh https://t.co/Eo1zyElF2q,61
61,0.0,2018-06-03 10:31:05+00:00,0.0,1.0,0.0,CNN,This Chick-fil-A franchise owner is raising wages at his store to $17 an hour https://t.co/gjTVQnQzPL https://t.co/b8pVRyrNee,62
62,0.3612,2018-06-03 10:15:06+00:00,0.0,0.844,0.156,CNN,A high school football player who takes cannabis oil to prevent his seizures has been ruled ineligible to play in c… https://t.co/dxQvn0Zqqg,63
63,0.25,2018-06-03 10:00:13+00:00,0.0,0.909,0.091,CNN,Ivanka Trump has been granted seven new trademarks in China as her father continues trade talks with Beijing -- and… https://t.co/KU3eraKgNT,64
64,0.0,2018-06-03 09:46:25+00:00,0.0,1.0,0.0,CNN,"Syrian President is to meet Kim Jong Un in North Korea, report says https://t.co/b6HeqI6RJG",65
65,0.0,2018-06-03 09:31:21+00:00,0.0,1.0,0.0,CNN,"Becky McCabe got down on one knee to propose to her girlfriend, Jessa Gillaspie. Jessa shrieked and immediately rea… https://t.co/eO2lkzyzCd",66
66,0.3612,2018-06-03 09:00:08+00:00,0.0,0.844,0.156,CNN,A high school football player who takes cannabis oil to prevent his seizures has been ruled ineligible to play in c… https://t.co/vI9KwkNwA1,67
67,-0.4215,2018-06-03 08:30:17+00:00,0.113,0.887,0.0,CNN,This 8-year-old Georgia boy was with his mom when he saw an elderly woman struggling to climb the stairs with her w… https://t.co/UoGLZU54Kj,68
68,0.0,2018-06-03 08:00:14+00:00,0.0,1.0,0.0,CNN,A teacher in Georgia responded the only way she knew how after receiving a letter from President Trump filled with… https://t.co/y07WzGq2JC,69
69,0.2244,2018-06-03 07:30:07+00:00,0.0,0.9,0.1,CNN,"In 1997, a 6th-grade teacher wrote ""Invite me to your Harvard graduation!"" on a student's report card. Twenty-one y… https://t.co/S9wB18o8ox",70
70,-0.296,2018-06-03 07:00:10+00:00,0.171,0.714,0.114,CNN,"A soldier died before meeting his baby, so his Army family welcomed her with open arms https://t.co/8sYSpYz1Yk https://t.co/bS0LWwOxeR",71
71,-0.4939,2018-06-03 06:30:24+00:00,0.127,0.873,0.0,CNN,A man went to a salon and learned to do his wife's hair after she suffered a stroke and was unable to style it hers… https://t.co/tiYCyEPUOz,72
72,0.0,2018-06-03 06:00:21+00:00,0.0,1.0,0.0,CNN,"Rapper Falz's ""This is Nigeria"" video holds up a mirror for the country https://t.co/xdmgSkxpOO https://t.co/U1d6dzvPMY",73
73,0.4215,2018-06-03 05:30:03+00:00,0.0,0.865,0.135,CNN,A young Malian migrant who rescued a child dangling from a balcony will be made a French citizen and has been offer… https://t.co/atbtW5sNuU,74
74,0.3182,2018-06-03 05:06:58+00:00,0.082,0.776,0.142,CNN,"North Korea will not get any sanctions relief until it has demonstrated ""verifiable and irreversible"" steps to denu… https://t.co/VaNkJqq3yH",75
75,-0.9524,2018-06-03 05:00:25+00:00,0.517,0.483,0.0,CNN,Iraq War veteran Pat Ryan is running for Congress. He’s calling for an assault weapons ban: “The weapons that I car… https://t.co/MIcdUn6IJk,76
76,0.2023,2018-06-03 04:30:05+00:00,0.0,0.924,0.076,CNN,"South Korean boy band @BTS_twt has become the first K-pop group to top the US Billboard 200 chart, with the debut o… https://t.co/e4pbDzVIH1",77
77,0.0,2018-06-03 04:00:12+00:00,0.0,1.0,0.0,CNN,"Archaeologists working at the ancient Roman city of Pompeii, Italy, uncovered the remains of a 30-year-old man who… https://t.co/Al0C75DN9F",78
78,0.8602,2018-06-03 03:30:09+00:00,0.0,0.631,0.369,CNN,NFL star JJ Watt has been awarded an honorary doctorate degree for raising over $37 million to help with recovery e… https://t.co/BTUkyeC2Id,79
79,0.4767,2018-06-03 03:00:09+00:00,0.0,0.744,0.256,CNN,Proceeds from economist's Nobel medal donated to non-profit https://t.co/kX9n19xQSv https://t.co/EFoIzSC9LV,80
80,0.3612,2018-06-03 02:30:11+00:00,0.0,0.865,0.135,CNN,Republican Sen. John McCain says he supports effort to force immigration bill to House floor https://t.co/16TqOGGc9Y https://t.co/9tRcu1XvXe,81
81,0.0,2018-06-03 02:00:13+00:00,0.0,1.0,0.0,CNN,"The largest wildfire in California's modern history is finally out, more than 6 months after it started… https://t.co/ghBrwkNqi1",82
82,-0.5574,2018-06-03 01:33:37+00:00,0.153,0.847,0.0,CNN,"A dog being flown by Delta Air Lines from Phoenix to Newark, New Jersey, died during a layover in Detroit, the airl… https://t.co/CIZZl7NzWT",83
83,0.4404,2018-06-03 01:30:10+00:00,0.0,0.775,0.225,CNN,Why startup visas are good for America https://t.co/jlC9GmqkEK (via @CNNOpinion) https://t.co/leqIYx9wu2,84
84,-0.4939,2018-06-03 01:00:07+00:00,0.227,0.657,0.116,CNN,"Four killings, including one of prominent psychologist, in Arizona are likely connected, police say… https://t.co/bN8Wy37Uzp",85
85,0.0,2018-06-03 00:30:04+00:00,0.0,1.0,0.0,CNN,Virginia GOP chooses replacement for 5th district nominee https://t.co/aidAnQaUJT https://t.co/40fjghIVmj,86
86,0.2023,2018-06-03 00:00:12+00:00,0.0,0.921,0.079,CNN,"Valerie Jarrett, former top aide to President Obama, makes an appeal to get out the vote in 2018, saying ""it's time… https://t.co/kOuEcwmX9X",87
87,-0.6124,2018-06-02 23:46:19+00:00,0.174,0.826,0.0,CNN,"""The Big Bang Theory"" star Jim Parsons tells @VanJones68 he thought about Roseanne Barr's racist tweet ""on an emoti… https://t.co/DZ5mZaqIkP",88
88,0.2023,2018-06-02 23:30:04+00:00,0.0,0.878,0.122,CNN,Kenyan President orders top officials to take lie-detector tests in corruption crackdown https://t.co/jaKPXboTt1 https://t.co/q5lY5cX0jq,89
89,0.0,2018-06-02 23:20:12+00:00,0.0,1.0,0.0,CNN,An attorney representing three women in cases against a doctor known for singing and dancing while performing surge… https://t.co/Dog9UV2r2w,90
90,0.0,2018-06-02 23:15:43+00:00,0.0,1.0,0.0,CNN,"""The crew, the people you don't see, the people you don't know — there are so many people employed..."" Actor Jim Pa… https://t.co/hlRURomCmj",91
91,0.765,2018-06-02 23:00:06+00:00,0.0,0.625,0.375,CNN,Five Star Movement supporters rally in Rome to celebrate new government https://t.co/TG0G0PfQ8Q https://t.co/khOs2BwJFL,92
92,0.0,2018-06-02 23:00:01+00:00,0.0,1.0,0.0,CNN,"The 30-year-old man who was still living with his parents says that he finally moved out, 10 days after a judge ord… https://t.co/SJnu3AdCmf",93
93,-0.34,2018-06-02 22:45:40+00:00,0.169,0.72,0.11,CNN,"""The Big Bang Theory"" star Jim Parsons talks about the fallout surrounding comedian Roseanne Barr's racist tweet, w… https://t.co/V2jEahrqYU",94
94,0.0,2018-06-02 22:30:13+00:00,0.0,1.0,0.0,CNN,Six major allies blast US over tariffs https://t.co/spgQbkUKR7 https://t.co/XqBSYXUalE,95
95,0.3612,2018-06-02 22:30:00+00:00,0.0,0.839,0.161,CNN,This is what it's like to surf near the Korean Demilitarized Zone https://t.co/8yu12Jk0Uv https://t.co/M3PaYFs75Q,96
96,0.0,2018-06-02 22:18:15+00:00,0.0,1.0,0.0,CNN,"Two climbers fell to their deaths Saturday at Yosemite National Park in California, a park spokeswoman said… https://t.co/jaQW500EV1",97
97,-0.4215,2018-06-02 22:15:00+00:00,0.113,0.887,0.0,CNN,This 8-year-old Georgia boy was with his mom when he saw an elderly woman struggling to climb the stairs with her w… https://t.co/C2z0TDF8zu,98
98,0.3612,2018-06-02 22:00:16+00:00,0.0,0.839,0.161,CNN,Fifth federal judge rules HHS unlawfully ended teen pregnancy prevention grant funding https://t.co/FbAHxbgMmb https://t.co/p7iUsaxqQ6,99
99,0.0,2018-06-02 21:45:06+00:00,0.0,1.0,0.0,CNN,Serena Williams to face Maria Sharapova at French Open https://t.co/sVQ0mY8OZ0 https://t.co/hQAbDfu8Lb,100
100,0.1027,2018-06-04 00:51:09+00:00,0.152,0.652,0.196,BBCWorld,Australian bank offers to pay record fine https://t.co/X54adKAeIy,1
101,0.2732,2018-06-03 23:48:56+00:00,0.0,0.741,0.259,BBCWorld,How to inspect a nuclear energy site https://t.co/zA7yYzF0nu,2
102,-0.6486,2018-06-03 23:44:28+00:00,0.35,0.65,0.0,BBCWorld,Guatemala volcano: Several dead as Fuego volcano erupts https://t.co/EKlhDpygr3,3
103,0.296,2018-06-03 23:37:34+00:00,0.0,0.804,0.196,BBCWorld,Shipwrecks: Who owns the treasure hidden under the sea? https://t.co/Z42CdGcIiu,4
104,0.3182,2018-06-03 23:37:34+00:00,0.0,0.839,0.161,BBCWorld,Gender inequality: The simple promise that could get more women into power https://t.co/kR7eklV2Gd,5
105,0.5574,2018-06-03 23:14:51+00:00,0.0,0.723,0.277,BBCWorld,World Cup 2018: The volunteer who wants his city cleaner for the championship https://t.co/6wAOJGP9E1,6
106,0.0,2018-06-03 23:12:35+00:00,0.0,1.0,0.0,BBCWorld,My 84-year-old husband now does my make-up https://t.co/yB5hq7Opbm,7
107,0.0,2018-06-03 23:12:34+00:00,0.0,1.0,0.0,BBCWorld,Why South African children are drowning in toilets https://t.co/MM85mjFJo0,8
108,0.0,2018-06-03 23:12:34+00:00,0.0,1.0,0.0,BBCWorld,The Swiss master watchmaker running out of time https://t.co/yvy00oJpVp,9
109,0.0,2018-06-03 23:10:15+00:00,0.0,1.0,0.0,BBCWorld,'I was looking for my mother but found my twin instead' https://t.co/jb8mzMl6IH,10
110,-0.1027,2018-06-03 20:32:04+00:00,0.287,0.463,0.25,BBCWorld,San Diego marathon: 'Active shooter arrested' https://t.co/oZMq4ZQDCS,11
111,-0.34,2018-06-03 19:45:40+00:00,0.167,0.833,0.0,BBCWorld,Dancing FBI agent drops gun during backflip and shoots man in leg https://t.co/Wpiw9CMX2B,12
112,0.4019,2018-06-03 18:11:52+00:00,0.0,0.748,0.252,BBCWorld,Slovenia election: Anti-immigrant SDS party leads - exit poll https://t.co/QCFVDlM4Hw,13
113,0.0,2018-06-03 16:45:10+00:00,0.0,1.0,0.0,BBCWorld,Soyuz space capsule brings ISS crew back after five month mission https://t.co/KJydJK6Igo,14
114,0.1655,2018-06-03 16:25:39+00:00,0.0,0.858,0.142,BBCWorld,"Trump 'could pardon himself over Russia but won't', says Giuliani https://t.co/ZGtVUwqhSl",15
115,-0.6597,2018-06-03 15:36:34+00:00,0.386,0.614,0.0,BBCWorld,Tunisia boat capsizes killing dozens of migrants https://t.co/sqaXVR8Hno,16
116,-0.8316,2018-06-03 15:33:34+00:00,0.317,0.683,0.0,BBCWorld,"RT @BBCBreaking: A minute's silence falls across the UK as the victims of the #LondonBridge terror attack are remembered, one year on 

htt…",17
117,0.0,2018-06-03 15:15:46+00:00,0.0,1.0,0.0,BBCWorld,'Shooting incident' at Berlin Cathedral https://t.co/qnqbZA2NFw,18
118,0.0,2018-06-03 14:14:09+00:00,0.0,1.0,0.0,BBCWorld,Italy migrants: Matteo Salvini calls for end to Sicily 'refugee camp' https://t.co/6IvAL3iYkI,19
119,-0.8316,2018-06-03 13:06:34+00:00,0.494,0.506,0.0,BBCWorld,Nigeria: Dozens killed by cattle thieves in Zamfara state https://t.co/MJ3VYheo4n,20
120,0.0,2018-06-03 13:04:19+00:00,0.0,1.0,0.0,BBCWorld,Syria's President Assad 'to visit North Korea' https://t.co/3nXJeObtwf,21
121,0.0,2018-06-03 12:26:35+00:00,0.0,1.0,0.0,BBCWorld,"""If you have 80 plastic bags in your stomach, you die"", said one marine biologist 

https://t.co/YM9rZn3Up6",22
122,-0.5994,2018-06-03 11:34:56+00:00,0.302,0.698,0.0,BBCWorld,Tanzanian conjoined twins Maria and Consolata die aged 22 https://t.co/rjRH1yo9b8,23
123,-0.7184,2018-06-03 11:13:29+00:00,0.261,0.739,0.0,BBCWorld,"RT @BBCNews: #LondonBridge: Spanish hero's dad pays tribute to son, who lost his life taking on attackers 

https://t.co/fSp0LYnQr7 https:/…",24
124,-0.1027,2018-06-03 09:30:13+00:00,0.149,0.851,0.0,BBCWorld,China warns US sanctions will void trade talks https://t.co/phUY7BngHb,25
